id_coleta,posto,bairro,endereco,bandeira,combustivel,data_coleta,preco
72,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina aditivada,2026-06-22,7.070
73,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina aditivada,2026-06-29,7.070
74,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina aditivada,2026-07-07,6.960
75,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina aditivada,2026-07-13,6.890
76,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina aditivada,2026-07-21,6.890
77,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina aditivada,2026-07-27,6.790
78,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina aditivada,2026-08-10,6.750
79,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina aditivada,2026-08-24,6.690
80,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina comum,2026-01-07,6.290
81,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina comum,2026-01-12,6.290
82,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina comum,2026-01-19,6.290
83,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina comum,2026-01-26,6.290
84,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina comum,2026-02-03,6.190
85,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina comum,2026-02-09,6.190
86,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina comum,2026-02-18,6.090
87,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina comum,2026-02-23,6.090
88,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina comum,2026-03-05,6.060
89,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina comum,2026-03-11,6.590
90,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina comum,2026-03-16,6.590
91,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina comum,2026-03-23,6.560
92,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina comum,2026-05-04,6.420
93,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina comum,2026-05-18,6.420
94,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina comum,2026-05-25,6.390
95,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina comum,2026-06-01,6.390
96,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina comum,2026-06-08,6.350
97,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina comum,2026-06-15,6.350
98,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina comum,2026-06-22,6.670
99,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina comum,2026-06-29,6.670
100,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina comum,2026-07-07,6.560
101,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina comum,2026-07-13,6.490
102,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina comum,2026-07-21,6.490
103,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina comum,2026-07-27,6.390
104,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina comum,2026-08-10,6.350
105,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina comum,2026-08-19,6.290
106,Auto Posto R M Ltda,Praia de Itaparica,"Rodovia do Sol, 3701",Raizen,Gasolina comum,2026-08-24,6.290
107,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Branca,Diesel S10,2026-01-14,5.990
108,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Diesel S10,2026-01-27,5.990
109,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Diesel S10,2026-02-04,5.990
110,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Diesel S10,2026-02-09,5.990
111,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Diesel S10,2026-02-16,5.990
112,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Diesel S10,2026-02-24,5.990
113,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Diesel S10,2026-03-03,5.990
114,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Diesel S10,2026-03-12,6.390
115,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Diesel S10,2026-03-17,6.490
116,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Diesel S10,2026-05-05,6.990
117,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Diesel S10,2026-05-12,6.990
118,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Diesel S10,2026-05-20,6.990
119,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Diesel S10,2026-05-26,6.990
120,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Diesel S10,2026-06-01,7.290
121,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Diesel S10,2026-06-08,6.990
122,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Diesel S10,2026-06-17,6.990
123,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Diesel S10,2026-06-23,6.990
124,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Diesel S10,2026-06-30,6.990
125,Auto Posto de Combustivel RTT Ltda,Divino Espirito Santo,"Rua Moema, 38",Ipiranga,Diesel S10,2026-07-15,6.970
